League,Home Team,Away Team,Total Games,Average Goals For Home,Average Goals For Away,Home Win %,Draw %,Away Win %,BTTS %,BTTS Home Win %,BTTS Away Win %,BTTS Draw %,BTTS No Draw %,Over 0.5 Goals %,Over 1.5 Goals %,Over 2.5 Goals %,Over 3.5 Goals %,Over 4.5 Goals %
Belgian Pro League,Club Brugge,Charleroi,26,1.58,0.77,0.6923,0.1538,0.1538,0.3846,0.2308,0.0385,0.1154,0.2692,0.9615,0.5769,0.3846,0.2308,0.1538
Belgian Pro League,Club Brugge,Eupen,8,3.38,0.88,0.75,0.25,0.0,0.5,0.375,0.0,0.125,0.375,0.875,0.875,0.875,0.75,0.375
Belgian Pro League,Club Brugge,Westerlo,18,3.28,0.83,0.8889,0.0556,0.0556,0.3889,0.3333,0.0,0.0556,0.3333,1.0,1.0,0.7778,0.6111,0.3333
Belgian Pro League,Club Brugge,Molenbeek,4,2.25,0.25,0.75,0.25,0.0,0.25,0.0,0.0,0.25,0.0,1.0,0.75,0.5,0.25,0.0
Belgian Pro League,Club Brugge,St Truiden,24,2.92,0.54,0.9167,0.0833,0.0,0.4167,0.3333,0.0,0.0833,0.3333,1.0,0.7917,0.625,0.4583,0.375
Belgian Pro League,Club Brugge,Mechelen,19,2.79,0.58,0.6842,0.2105,0.1053,0.3684,0.1053,0.0526,0.2105,0.1579,1.0,0.9474,0.5789,0.3158,0.2105
Belgian Pro League,Club Brugge,Genk,26,2.12,1.27,0.5385,0.2692,0.1923,0.6154,0.2308,0.1154,0.2692,0.3462,1.0,0.8846,0.5385,0.4231,0.2308
Belgian Pro League,Club Brugge,Cercle Brugge,18,2.44,0.61,0.7222,0.2222,0.0556,0.3889,0.1667,0.0,0.2222,0.1667,1.0,0.8333,0.6111,0.3889,0.1667
Belgian Pro League,Club Brugge,Kortrijk,15,2.6,0.6,0.8667,0.1333,0.0,0.5333,0.4667,0.0,0.0667,0.4667,0.9333,0.8667,0.8,0.3333,0.2
Belgian Pro League,Club Brugge,St. Gilloise,2,0.5,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0
Belgian Pro League,Club Brugge,Standard,27,2.44,1.11,0.5556,0.3704,0.0741,0.6667,0.2593,0.0741,0.3333,0.3333,0.963,0.8519,0.6296,0.4444,0.2222
Belgian Pro League,Club Brugge,Oud-Heverlee Leuven,7,1.71,0.43,0.7143,0.2857,0.0,0.4286,0.1429,0.0,0.2857,0.1429,1.0,0.7143,0.2857,0.1429,0.0
