League,Home Team,Away Team,Total Games,Average Goals For Home,Average Goals For Away,Home Win %,Draw %,Away Win %,BTTS %,BTTS Home Win %,BTTS Away Win %,BTTS Draw %,BTTS No Draw %,Over 0.5 Goals %,Over 1.5 Goals %,Over 2.5 Goals %,Over 3.5 Goals %,Over 4.5 Goals %
Championship,Sunderland,Sheffield Weds,5,1.8,0.8,0.6,0.2,0.2,0.4,0.0,0.2,0.2,0.2,1.0,0.6,0.4,0.4,0.2
Championship,Rotherham,Norwich,8,1.5,1.75,0.125,0.5,0.375,1.0,0.125,0.375,0.5,0.5,1.0,1.0,0.625,0.125,0.125
Championship,Sunderland,Norwich,11,0.82,0.73,0.3636,0.2727,0.3636,0.2727,0.0,0.0909,0.1818,0.0909,0.9091,0.3636,0.1818,0.0909,0.0
Championship,Sunderland,Swansea,7,0.71,1.29,0.1429,0.4286,0.4286,0.4286,0.0,0.2857,0.1429,0.2857,0.7143,0.7143,0.2857,0.2857,0.0
Championship,Sunderland,Leeds,8,1.0,1.5,0.25,0.0,0.75,0.375,0.0,0.375,0.0,0.375,1.0,0.875,0.375,0.125,0.125
Championship,Sunderland,Watford,11,1.91,0.91,0.6364,0.1818,0.1818,0.4545,0.1818,0.0909,0.1818,0.2727,1.0,0.8182,0.3636,0.3636,0.1818
Championship,Sunderland,Preston,5,1.2,1.4,0.2,0.4,0.4,0.4,0.2,0.0,0.2,0.2,0.8,0.6,0.4,0.4,0.2
Championship,Rotherham,Huddersfield,8,1.5,1.62,0.125,0.625,0.25,1.0,0.125,0.25,0.625,0.375,1.0,1.0,0.5,0.375,0.25
Championship,Preston,Southampton,4,2.75,1.5,0.5,0.25,0.25,1.0,0.5,0.25,0.25,0.75,1.0,1.0,0.75,0.75,0.5
Championship,Sunderland,Hull,9,1.89,1.22,0.5556,0.2222,0.2222,0.4444,0.1111,0.1111,0.2222,0.2222,1.0,0.7778,0.4444,0.3333,0.2222
Championship,Sunderland,Stoke,18,1.39,0.83,0.5,0.2778,0.2222,0.3333,0.0556,0.1111,0.1667,0.1667,0.8889,0.6111,0.3333,0.2778,0.0556
Championship,Sunderland,Millwall,8,2.12,0.75,0.625,0.25,0.125,0.5,0.25,0.0,0.25,0.25,1.0,0.75,0.625,0.25,0.125
Championship,Sunderland,Coventry,9,1.33,0.89,0.4444,0.4444,0.1111,0.4444,0.0,0.1111,0.3333,0.1111,0.8889,0.5556,0.1111,0.1111,0.1111
Championship,Sunderland,Blackburn,10,1.1,0.6,0.5,0.3,0.2,0.4,0.3,0.1,0.0,0.4,0.7,0.5,0.5,0.0,0.0
Championship,Blackburn,Plymouth,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Championship,Sunderland,Cardiff,6,1.33,1.0,0.3333,0.1667,0.5,0.5,0.1667,0.3333,0.0,0.5,0.8333,0.6667,0.6667,0.1667,0.0
Championship,Sunderland,Southampton,11,1.0,1.36,0.1818,0.4545,0.3636,0.5455,0.0909,0.0,0.4545,0.0909,1.0,0.7273,0.3636,0.2727,0.0
Championship,Sunderland,West Brom,19,1.42,0.95,0.3684,0.3684,0.2632,0.4211,0.0,0.2105,0.2105,0.2105,0.8421,0.6842,0.4211,0.2632,0.1053
Championship,Plymouth,Ipswich,9,1.33,1.44,0.3333,0.3333,0.3333,1.0,0.3333,0.3333,0.3333,0.6667,1.0,1.0,0.6667,0.1111,0.0
Championship,Sunderland,Bristol City,6,0.83,0.67,0.1667,0.6667,0.1667,0.5,0.0,0.1667,0.3333,0.1667,0.6667,0.6667,0.1667,0.0,0.0
Championship,Sunderland,Birmingham,13,1.38,0.77,0.5385,0.2308,0.2308,0.4615,0.2308,0.0,0.2308,0.2308,1.0,0.6154,0.3846,0.1538,0.0
Championship,Sunderland,Ipswich,12,1.75,0.75,0.8333,0.0833,0.0833,0.4167,0.3333,0.0,0.0833,0.3333,1.0,0.6667,0.4167,0.25,0.1667
Championship,Sunderland,Leicester,12,1.17,1.17,0.3333,0.3333,0.3333,0.5833,0.25,0.25,0.0833,0.5,0.75,0.75,0.5,0.1667,0.1667
Championship,Sheffield Weds,Rotherham,8,0.75,1.38,0.125,0.25,0.625,0.5,0.0,0.375,0.125,0.375,0.875,0.625,0.5,0.125,0.0
Championship,QPR,Rotherham,6,2.5,1.5,0.5,0.3333,0.1667,1.0,0.5,0.1667,0.3333,0.6667,1.0,1.0,0.6667,0.5,0.5
Championship,Sheffield Weds,Swansea,5,1.0,1.4,0.2,0.4,0.4,0.4,0.2,0.0,0.2,0.2,0.8,0.8,0.4,0.4,0.0
Championship,Sheffield Weds,Leeds,17,1.65,1.35,0.2941,0.3529,0.3529,0.4706,0.0588,0.1176,0.2941,0.1765,0.9412,0.8235,0.4706,0.2941,0.1765
Championship,Sheffield Weds,Stoke,7,0.71,0.86,0.1429,0.7143,0.1429,0.4286,0.0,0.0,0.4286,0.0,0.7143,0.5714,0.1429,0.1429,0.0
Championship,Sheffield Weds,Coventry,15,1.73,0.87,0.5333,0.3333,0.1333,0.5333,0.4,0.0667,0.0667,0.4667,0.7333,0.6,0.4667,0.2667,0.2667
Championship,Sheffield Weds,Cardiff,12,1.42,0.75,0.5,0.25,0.25,0.3333,0.0833,0.1667,0.0833,0.25,0.8333,0.5833,0.4167,0.25,0.0833
Championship,Sheffield Weds,Southampton,12,1.42,0.83,0.3333,0.4167,0.25,0.3333,0.0,0.0,0.3333,0.0,0.9167,0.5833,0.25,0.25,0.1667
Championship,Sheffield Weds,West Brom,7,1.0,2.0,0.1429,0.2857,0.5714,0.5714,0.1429,0.1429,0.2857,0.2857,1.0,0.8571,0.7143,0.4286,0.0
Championship,Sheffield Weds,Bristol City,12,1.17,0.92,0.4167,0.25,0.3333,0.3333,0.0833,0.1667,0.0833,0.25,0.8333,0.5,0.25,0.25,0.25
Championship,Sheffield Weds,Birmingham,13,1.38,1.08,0.3846,0.3077,0.3077,0.4615,0.1538,0.0769,0.2308,0.2308,0.9231,0.6923,0.4615,0.2308,0.1538
Championship,Sheffield Weds,Ipswich,17,1.35,1.0,0.2941,0.3529,0.3529,0.5882,0.1176,0.1765,0.2941,0.2941,0.9412,0.7059,0.4118,0.1765,0.1176
Championship,Sheffield Weds,Leicester,12,1.33,0.75,0.6667,0.0833,0.25,0.3333,0.3333,0.0,0.0,0.3333,0.9167,0.6667,0.4167,0.0833,0.0
Championship,Rotherham,Preston,11,0.82,0.91,0.3636,0.2727,0.3636,0.4545,0.1818,0.2727,0.0,0.4545,0.7273,0.4545,0.4545,0.0909,0.0
Championship,Rotherham,Middlesbrough,5,0.8,1.4,0.4,0.0,0.6,0.4,0.0,0.4,0.0,0.4,1.0,0.6,0.6,0.0,0.0
Championship,Rotherham,Millwall,11,1.0,1.09,0.2727,0.4545,0.2727,0.5455,0.1818,0.1818,0.1818,0.3636,0.7273,0.5455,0.3636,0.2727,0.1818
