League,Home Team,Away Team,Total Games,Average Goals For Home,Average Goals For Away,Home Win %,Draw %,Away Win %,BTTS %,BTTS Home Win %,BTTS Away Win %,BTTS Draw %,BTTS No Draw %,Over 0.5 Goals %,Over 1.5 Goals %,Over 2.5 Goals %,Over 3.5 Goals %,Over 4.5 Goals %
France Ligue One,Toulouse,Paris SG,20,1.0,1.65,0.3,0.1,0.6,0.45,0.15,0.2,0.1,0.35,1.0,0.7,0.45,0.3,0.15
France Ligue One,Toulouse,Le Havre,5,2.2,0.8,0.8,0.2,0.0,0.4,0.4,0.0,0.0,0.4,0.8,0.6,0.6,0.4,0.2
France Ligue One,Toulouse,Monaco,19,1.0,1.21,0.1579,0.5789,0.2632,0.5263,0.1053,0.1053,0.3158,0.2105,0.7368,0.7368,0.3158,0.2105,0.1053
France Ligue One,Toulouse,Clermont,3,1.67,1.33,0.6667,0.0,0.3333,0.6667,0.6667,0.0,0.0,0.6667,1.0,0.6667,0.6667,0.3333,0.3333
France Ligue One,Toulouse,Nantes,15,0.8,0.93,0.3333,0.4,0.2667,0.4,0.0667,0.0667,0.2667,0.1333,0.8667,0.4667,0.2,0.1333,0.0667
France Ligue One,Toulouse,Strasbourg,11,1.0,1.36,0.0909,0.4545,0.4545,0.6364,0.0,0.2727,0.3636,0.2727,0.9091,0.7273,0.4545,0.2727,0.0
France Ligue One,Toulouse,Brest,5,1.6,1.4,0.4,0.4,0.2,0.6,0.2,0.2,0.2,0.4,0.8,0.8,0.4,0.4,0.2
France Ligue One,Toulouse,Lyon,21,1.1,1.05,0.2857,0.2857,0.4286,0.381,0.0476,0.2381,0.0952,0.2857,0.8095,0.6667,0.4286,0.1429,0.0952
France Ligue One,Toulouse,Metz,11,1.27,0.45,0.5455,0.2727,0.1818,0.2727,0.0909,0.0909,0.0909,0.1818,0.8182,0.5455,0.3636,0.0,0.0
France Ligue One,Toulouse,Lille,20,0.9,1.2,0.3,0.35,0.35,0.4,0.15,0.1,0.15,0.25,0.8,0.65,0.3,0.15,0.15
France Ligue One,Toulouse,Lorient,16,1.5,1.25,0.3125,0.3125,0.375,0.5,0.125,0.1875,0.1875,0.3125,0.875,0.625,0.5,0.4375,0.3125
France Ligue One,Toulouse,Montpellier,14,1.14,1.29,0.3571,0.2857,0.3571,0.4286,0.0714,0.0714,0.2857,0.1429,1.0,0.5714,0.2857,0.2143,0.1429
France Ligue One,Toulouse,Lens,12,0.83,1.08,0.25,0.3333,0.4167,0.5,0.0833,0.1667,0.25,0.25,0.9167,0.5833,0.25,0.0833,0.0833
France Ligue One,Toulouse,Reims,8,1.38,0.88,0.5,0.375,0.125,0.5,0.125,0.0,0.375,0.125,1.0,0.625,0.25,0.25,0.125
France Ligue One,Toulouse,Marseille,21,0.9,1.48,0.2381,0.3333,0.4286,0.4286,0.0476,0.2381,0.1429,0.2857,0.8095,0.619,0.381,0.2381,0.1429
France Ligue One,Paris SG,Le Havre,7,1.86,0.43,0.8571,0.0,0.1429,0.1429,0.1429,0.0,0.0,0.1429,1.0,0.8571,0.4286,0.0,0.0
France Ligue One,Paris SG,Monaco,26,1.31,1.27,0.2308,0.4615,0.3077,0.5769,0.1538,0.1154,0.3077,0.2692,0.8462,0.7308,0.3846,0.2308,0.1538
France Ligue One,Paris SG,Clermont,2,3.0,1.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,0.5
France Ligue One,Paris SG,Nantes,23,1.91,0.57,0.7391,0.1304,0.1304,0.3478,0.2609,0.0435,0.0435,0.3043,0.913,0.6087,0.4348,0.3043,0.1739
France Ligue One,Paris SG,Strasbourg,17,2.35,0.88,0.8824,0.1176,0.0,0.5882,0.5294,0.0,0.0588,0.5294,0.9412,0.7059,0.7059,0.4118,0.2353
France Ligue One,Paris SG,Brest,6,2.17,0.33,1.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.3333,1.0,0.6667,0.5,0.3333,0.0
France Ligue One,Paris SG,Lyon,28,1.82,0.79,0.5714,0.25,0.1786,0.4643,0.2143,0.0357,0.2143,0.25,0.9643,0.6786,0.4286,0.3214,0.1429
France Ligue One,Paris SG,Metz,16,2.44,0.38,0.8125,0.1875,0.0,0.3125,0.1875,0.0,0.125,0.1875,0.9375,0.8125,0.5625,0.3125,0.1875
France Ligue One,Paris SG,Lille,25,1.8,0.8,0.64,0.32,0.04,0.56,0.36,0.0,0.2,0.36,0.88,0.64,0.52,0.32,0.08
France Ligue One,Paris SG,Lorient,16,2.31,1.38,0.5,0.125,0.375,0.5625,0.25,0.25,0.0625,0.5,0.9375,0.875,0.8125,0.6875,0.3125
France Ligue One,Paris SG,Montpellier,22,2.27,0.82,0.5,0.3636,0.1364,0.4545,0.1364,0.0909,0.2273,0.2273,0.8636,0.7727,0.5455,0.5,0.1818
France Ligue One,Paris SG,Lens,19,1.84,1.05,0.4737,0.2105,0.3158,0.4737,0.2105,0.1053,0.1579,0.3158,0.9474,0.7368,0.5263,0.4211,0.1579
France Ligue One,Paris SG,Reims,9,2.67,0.78,0.7778,0.1111,0.1111,0.4444,0.3333,0.0,0.1111,0.3333,1.0,0.8889,0.6667,0.5556,0.3333
France Ligue One,Paris SG,Marseille,28,1.43,0.82,0.5714,0.2143,0.2143,0.4286,0.2857,0.1071,0.0357,0.3929,0.8214,0.75,0.5357,0.1429,0.0
France Ligue One,Le Havre,Monaco,9,1.22,2.22,0.1111,0.2222,0.6667,0.8889,0.1111,0.5556,0.2222,0.6667,1.0,1.0,0.8889,0.3333,0.2222
France Ligue One,Le Havre,Clermont,15,0.87,0.87,0.4,0.2667,0.3333,0.4,0.2667,0.0667,0.0667,0.3333,0.8,0.4667,0.3333,0.1333,0.0
France Ligue One,Le Havre,Nantes,12,1.42,0.83,0.5,0.25,0.25,0.5,0.25,0.0,0.25,0.25,1.0,0.6667,0.3333,0.25,0.0
France Ligue One,Le Havre,Strasbourg,10,1.0,0.7,0.3,0.3,0.4,0.3,0.0,0.0,0.3,0.0,1.0,0.6,0.1,0.0,0.0
France Ligue One,Le Havre,Brest,11,0.73,0.55,0.2727,0.5455,0.1818,0.3636,0.0,0.0,0.3636,0.0,0.8182,0.4545,0.0,0.0,0.0
France Ligue One,Le Havre,Lyon,7,1.57,1.29,0.4286,0.0,0.5714,0.5714,0.2857,0.2857,0.0,0.5714,1.0,0.5714,0.5714,0.4286,0.2857
France Ligue One,Le Havre,Metz,13,1.23,0.69,0.3846,0.6154,0.0,0.5385,0.1538,0.0,0.3846,0.1538,0.7692,0.6923,0.3077,0.1538,0.0
France Ligue One,Le Havre,Lille,4,0.0,0.25,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
France Ligue One,Le Havre,Lorient,9,1.44,1.44,0.3333,0.3333,0.3333,0.6667,0.2222,0.2222,0.2222,0.4444,0.8889,0.6667,0.5556,0.5556,0.2222
France Ligue One,Le Havre,Montpellier,11,1.36,0.27,0.5455,0.3636,0.0909,0.1818,0.0909,0.0,0.0909,0.0909,0.7273,0.4545,0.3636,0.0909,0.0
France Ligue One,Le Havre,Lens,14,1.36,0.79,0.4286,0.4286,0.1429,0.4286,0.2143,0.0714,0.1429,0.2857,0.7143,0.5,0.3571,0.2857,0.0714
France Ligue One,Le Havre,Reims,8,1.38,0.62,0.5,0.5,0.0,0.625,0.25,0.0,0.375,0.25,0.875,0.75,0.25,0.125,0.0
France Ligue One,Le Havre,Marseille,7,0.57,1.0,0.0,0.7143,0.2857,0.5714,0.0,0.1429,0.4286,0.1429,0.7143,0.5714,0.1429,0.1429,0.0
France Ligue One,Monaco,Clermont,4,2.25,0.25,0.5,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.75,0.75,0.5,0.5,0.0
France Ligue One,Monaco,Nantes,24,1.83,1.12,0.7083,0.0833,0.2083,0.7083,0.5,0.125,0.0833,0.625,1.0,0.8333,0.6667,0.25,0.125
France Ligue One,Monaco,Strasbourg,17,2.18,1.12,0.7647,0.1176,0.1176,0.5294,0.2941,0.1176,0.1176,0.4118,1.0,0.9412,0.5882,0.3529,0.2353
France Ligue One,Monaco,Brest,5,2.2,0.8,0.8,0.0,0.2,0.4,0.4,0.0,0.0,0.4,1.0,0.6,0.4,0.4,0.4
France Ligue One,Monaco,Lyon,26,1.15,1.08,0.4615,0.2308,0.3077,0.4231,0.2308,0.0769,0.1154,0.3077,0.8846,0.7308,0.4231,0.1154,0.0769
France Ligue One,Monaco,Metz,17,2.18,0.71,0.5294,0.3529,0.1176,0.4118,0.1176,0.0588,0.2353,0.1765,0.8824,0.8235,0.5294,0.4118,0.1176
France Ligue One,Monaco,Lille,23,1.26,0.87,0.3478,0.4348,0.2174,0.3913,0.1304,0.0435,0.2174,0.1739,0.7826,0.6522,0.3478,0.2609,0.0435
France Ligue One,Monaco,Lorient,14,1.79,0.79,0.6429,0.2143,0.1429,0.4286,0.1429,0.1429,0.1429,0.2857,0.9286,0.6429,0.5,0.4286,0.0714
France Ligue One,Monaco,Montpellier,20,1.95,0.75,0.55,0.35,0.1,0.45,0.2,0.05,0.2,0.25,0.85,0.75,0.45,0.4,0.1
France Ligue One,Monaco,Lens,21,1.62,0.81,0.5238,0.2857,0.1905,0.3333,0.1429,0.0476,0.1429,0.1905,0.8571,0.8095,0.3333,0.1905,0.1429
France Ligue One,Monaco,Reims,9,1.22,1.44,0.1111,0.5556,0.3333,0.7778,0.1111,0.2222,0.4444,0.3333,0.8889,0.7778,0.5556,0.3333,0.1111
France Ligue One,Monaco,Marseille,26,1.54,1.27,0.3846,0.1923,0.4231,0.5769,0.1538,0.2692,0.1538,0.4231,0.9615,0.7692,0.4615,0.2692,0.1923
France Ligue One,Rennes,Clermont,2,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
France Ligue One,Rennes,Nantes,23,1.22,0.96,0.4783,0.2174,0.3043,0.3043,0.1304,0.087,0.087,0.2174,0.8696,0.6087,0.3913,0.1739,0.1304
France Ligue One,Rennes,Strasbourg,16,2.06,0.81,0.75,0.125,0.125,0.5,0.25,0.125,0.125,0.375,1.0,0.875,0.625,0.25,0.125
France Ligue One,Rennes,Brest,7,1.71,0.86,0.5714,0.4286,0.0,0.7143,0.4286,0.0,0.2857,0.4286,0.8571,0.8571,0.5714,0.2857,0.0
France Ligue One,Rennes,Lyon,27,1.37,1.44,0.2963,0.2593,0.4444,0.6296,0.1852,0.2222,0.2222,0.4074,0.963,0.7778,0.5926,0.2963,0.1111
France Ligue One,Rennes,Metz,16,1.5,0.88,0.5625,0.1875,0.25,0.4375,0.1875,0.1875,0.0625,0.375,0.875,0.5625,0.4375,0.3125,0.0625
France Ligue One,Rennes,Lille,25,1.64,0.96,0.44,0.32,0.24,0.56,0.12,0.16,0.28,0.28,0.96,0.84,0.44,0.28,0.04
France Ligue One,Rennes,Lorient,16,1.69,0.75,0.5625,0.25,0.1875,0.5,0.125,0.125,0.25,0.25,1.0,0.6875,0.375,0.25,0.125
France Ligue One,Rennes,Montpellier,22,1.86,0.82,0.6818,0.1364,0.1818,0.3182,0.1818,0.0455,0.0909,0.2273,0.9545,0.8182,0.5,0.3182,0.0909
France Ligue One,Rennes,Lens,19,1.74,0.95,0.5263,0.2632,0.2105,0.5263,0.1579,0.1053,0.2632,0.2632,1.0,0.8421,0.4211,0.3158,0.1053
France Ligue One,Rennes,Reims,9,1.33,1.33,0.4444,0.1111,0.4444,0.4444,0.2222,0.1111,0.1111,0.3333,1.0,0.7778,0.5556,0.3333,0.0
France Ligue One,Rennes,Marseille,28,1.57,1.57,0.3929,0.25,0.3571,0.6429,0.2857,0.1071,0.25,0.3929,1.0,0.8571,0.5,0.3214,0.2143
