League,Home Team,Away Team,Total Games,Average Goals For Home,Average Goals For Away,Home Win %,Draw %,Away Win %,BTTS %,BTTS Home Win %,BTTS Away Win %,BTTS Draw %,BTTS No Draw %,Over 0.5 Goals %,Over 1.5 Goals %,Over 2.5 Goals %,Over 3.5 Goals %,Over 4.5 Goals %
German Bundesliga,Heidenheim,Werder Bremen,1,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
German Bundesliga,Heidenheim,Stuttgart,2,1.5,2.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.0
German Bundesliga,Heidenheim,Freiburg,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
German Bundesliga,Ein Frankfurt,Leipzig,2,2.5,2.5,0.5,0.0,0.5,1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0
German Bundesliga Two,Paderborn,Holstein Kiel,4,3.25,2.25,0.25,0.5,0.25,1.0,0.25,0.25,0.5,0.5,1.0,1.0,0.75,0.5,0.5
German Bundesliga Two,Paderborn,Wehen,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
German Bundesliga,M'gladbach,Darmstadt,2,2.5,2.0,0.5,0.5,0.0,1.0,0.5,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
German Bundesliga Two,Karlsruhe,Magdeburg,1,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
German Bundesliga Two,Hannover,Wehen,1,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
German Bundesliga Two,Hannover,Magdeburg,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
German Bundesliga Two,Fortuna Dusseldorf,Magdeburg,1,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
German Bundesliga Two,Fortuna Dusseldorf,Hertha,3,2.67,2.0,0.3333,0.3333,0.3333,1.0,0.3333,0.3333,0.3333,0.6667,1.0,1.0,1.0,0.6667,0.6667
German Bundesliga,Union Berlin,Darmstadt,3,2.33,1.67,0.3333,0.6667,0.0,1.0,0.3333,0.0,0.6667,0.3333,1.0,1.0,0.6667,0.6667,0.3333
German Bundesliga Two,Schalke 04,Braunschweig,1,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
German Bundesliga Two,Schalke 04,Greuther Furth,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
German Bundesliga Two,Schalke 04,Holstein Kiel,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
German Bundesliga Two,Braunschweig,Magdeburg,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
German Bundesliga Two,Greuther Furth,Wehen,3,1.33,1.0,0.3333,0.6667,0.0,1.0,0.3333,0.0,0.6667,0.3333,1.0,1.0,0.3333,0.0,0.0
German Bundesliga Two,Holstein Kiel,Wehen,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
German Bundesliga Two,Holstein Kiel,Osnabruck,2,1.5,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5
German Bundesliga Two,Holstein Kiel,Magdeburg,2,2.0,2.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.5,0.5
German Bundesliga Two,Holstein Kiel,Kaiserslautern,2,2.0,1.5,0.5,0.5,0.0,1.0,0.5,0.0,0.5,0.5,1.0,1.0,1.0,0.5,0.0
German Bundesliga Two,Wehen,St Pauli,3,3.0,2.33,0.6667,0.0,0.3333,1.0,0.6667,0.3333,0.0,1.0,1.0,1.0,1.0,1.0,0.3333
German Bundesliga Two,Wehen,Hamburg,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
German Bundesliga Two,Osnabruck,Hamburg,2,2.5,1.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5
German Bundesliga Two,Magdeburg,Nurnberg,1,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
German Bundesliga,Darmstadt,Mainz,2,2.0,2.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.5,0.5
German Bundesliga,FC Koln,Heidenheim,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
German Bundesliga,Leipzig,Ein Frankfurt,2,1.5,2.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5
German Bundesliga Two,Wehen,Paderborn,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
German Bundesliga Two,Nurnberg,Paderborn,4,1.75,1.25,0.75,0.0,0.25,1.0,0.75,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0
German Bundesliga Two,Wehen,Karlsruhe,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
German Bundesliga Two,Magdeburg,Karlsruhe,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
German Bundesliga Two,Fortuna Dusseldorf,Hannover,6,2.17,1.67,0.5,0.5,0.0,1.0,0.5,0.0,0.5,0.5,1.0,1.0,0.8333,0.5,0.3333
German Bundesliga Two,Magdeburg,Fortuna Dusseldorf,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
German Bundesliga Two,Hertha,Fortuna Dusseldorf,3,2.67,1.67,0.6667,0.0,0.3333,1.0,0.6667,0.3333,0.0,1.0,1.0,1.0,1.0,0.6667,0.3333
German Bundesliga Two,Hansa Rostock,Fortuna Dusseldorf,4,2.0,2.0,0.75,0.0,0.25,1.0,0.75,0.25,0.0,1.0,1.0,1.0,1.0,0.25,0.25
German Bundesliga,Darmstadt,Stuttgart,2,1.5,1.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0
German Bundesliga,Freiburg,Leipzig,1,5.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
German Bundesliga Two,Braunschweig,Schalke 04,1,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
German Bundesliga Two,Holstein Kiel,Greuther Furth,5,1.8,1.6,0.4,0.4,0.2,1.0,0.4,0.2,0.4,0.6,1.0,1.0,0.8,0.6,0.0
German Bundesliga Two,Magdeburg,Greuther Furth,2,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
German Bundesliga Two,Wehen,Holstein Kiel,1,3.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
German Bundesliga Two,Osnabruck,Holstein Kiel,2,2.5,2.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5
German Bundesliga Two,Magdeburg,Holstein Kiel,2,1.0,1.5,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.0
German Bundesliga Two,Nurnberg,Holstein Kiel,5,1.8,1.8,0.2,0.6,0.2,1.0,0.2,0.2,0.6,0.4,1.0,1.0,0.8,0.6,0.2
German Bundesliga Two,Kaiserslautern,Holstein Kiel,2,2.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0
German Bundesliga Two,Hansa Rostock,Holstein Kiel,2,2.5,2.5,0.5,0.0,0.5,1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0
German Bundesliga Two,Hamburg,Wehen,1,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
German Bundesliga Two,Magdeburg,St Pauli,2,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
German Bundesliga Two,Hansa Rostock,Osnabruck,1,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
German Bundesliga Two,Hamburg,Magdeburg,2,1.5,2.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5
German Bundesliga Two,Nurnberg,Magdeburg,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
German Bundesliga Two,Kaiserslautern,Magdeburg,1,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
German Bundesliga Two,Hansa Rostock,Magdeburg,1,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
German Bundesliga,Darmstadt,Augsburg,2,1.5,2.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.0
German Bundesliga Two,Hansa Rostock,Kaiserslautern ,1,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
German Bundesliga,Augsburg,Werder Bremen,11,2.18,1.55,0.6364,0.0909,0.2727,0.9091,0.5455,0.2727,0.0909,0.8182,1.0,1.0,0.8182,0.5455,0.2727
German Bundesliga Two,Hannover,Greuther Furth,9,1.89,1.11,0.5556,0.3333,0.1111,0.8889,0.4444,0.1111,0.3333,0.5556,1.0,1.0,0.6667,0.3333,0.0
German Bundesliga,Werder Bremen,Hoffenheim,14,1.71,1.71,0.2857,0.5,0.2143,0.8571,0.2143,0.1429,0.5,0.3571,1.0,1.0,0.5,0.2857,0.1429
German Bundesliga,Wolfsburg,Hoffenheim,15,2.2,1.2,0.5333,0.3333,0.1333,0.8,0.3333,0.1333,0.3333,0.4667,1.0,1.0,0.8667,0.4,0.0667
German Bundesliga Two,St Pauli,Paderborn,10,2.0,1.8,0.3,0.3,0.4,0.8,0.2,0.3,0.3,0.5,1.0,1.0,0.9,0.5,0.2
German Bundesliga Two,Fortuna Dusseldorf,Braunschweig,7,1.71,1.43,0.2857,0.5714,0.1429,0.8571,0.1429,0.1429,0.5714,0.2857,1.0,0.8571,0.7143,0.5714,0.0
