League,Home Team,Away Team,Total Games,Average Goals For Home,Average Goals For Away,Home Win %,Draw %,Away Win %,BTTS %,BTTS Home Win %,BTTS Away Win %,BTTS Draw %,BTTS No Draw %,Over 0.5 Goals %,Over 1.5 Goals %,Over 2.5 Goals %,Over 3.5 Goals %,Over 4.5 Goals %
Netherlands Ersdvisle,Ajax ,Heerenveen,1,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Netherlands Ersdvisle,Excelsior,Sparta,2,3.5,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5
Netherlands Ersdvisle,For Sittard,Sparta,6,2.33,1.67,0.8333,0.0,0.1667,1.0,0.8333,0.1667,0.0,1.0,1.0,1.0,1.0,0.3333,0.3333
Netherlands Ersdvisle,Excelsior,Go Ahead Eagles,3,2.0,1.33,0.6667,0.3333,0.0,1.0,0.6667,0.0,0.3333,0.6667,1.0,1.0,0.6667,0.3333,0.3333
Netherlands Ersdvisle,Twente,Go Ahead Eagles,6,1.67,1.33,0.3333,0.5,0.1667,1.0,0.3333,0.1667,0.5,0.5,1.0,1.0,0.6667,0.3333,0.0
Netherlands Ersdvisle,Go Ahead Eagles,Heracles,4,1.75,2.5,0.25,0.25,0.5,1.0,0.25,0.5,0.25,0.75,1.0,1.0,0.75,0.75,0.5
Netherlands Ersdvisle,Waalwijk,Go Ahead Eagles,4,1.5,2.0,0.25,0.25,0.5,1.0,0.25,0.5,0.25,0.75,1.0,1.0,0.75,0.5,0.25
Netherlands Ersdvisle,Go Ahead Eagles,Sparta,1,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Netherlands Ersdvisle,Zwolle,Utrecht,12,1.67,1.42,0.25,0.5833,0.1667,0.9167,0.1667,0.1667,0.5833,0.3333,1.0,1.0,0.4167,0.25,0.1667
Netherlands Ersdvisle,Excelsior,AZ Alkmaar,11,1.82,1.82,0.3636,0.3636,0.2727,0.9091,0.3636,0.2727,0.2727,0.6364,0.9091,0.9091,0.8182,0.4545,0.3636
