League,Home Team,Away Team,Total Games,Average Goals For Home,Average Goals For Away,Home Win %,Draw %,Away Win %,BTTS %,BTTS Home Win %,BTTS Away Win %,BTTS Draw %,BTTS No Draw %,Over 0.5 Goals %,Over 1.5 Goals %,Over 2.5 Goals %,Over 3.5 Goals %,Over 4.5 Goals %
Italy Serie A,Lazio,Frosinone,2,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
Italy Serie A,Lazio,Monza,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Italy Serie B,Spezia,Reggina,2,1.5,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0
Italy Serie B,Spezia,Sampdoria,3,1.67,0.67,1.0,0.0,0.0,0.6667,0.6667,0.0,0.0,0.6667,1.0,0.6667,0.6667,0.0,0.0
Italy Serie B,Spezia,Cosenza,2,4.5,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5
Italy Serie B,Como,Sampdoria,1,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Italy Serie B,Como,Cosenza,3,3.0,0.67,1.0,0.0,0.0,0.6667,0.6667,0.0,0.0,0.6667,1.0,1.0,0.6667,0.3333,0.3333
Italy Serie A,Atalanta,Monza,3,3.33,1.0,1.0,0.0,0.0,0.6667,0.6667,0.0,0.0,0.6667,1.0,1.0,0.6667,0.6667,0.3333
Italy Serie B,Pisa,Reggiana,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Italy Serie A,Roma,Frosinone,2,3.5,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0
Italy Serie A,Roma,Monza,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Italy Serie A,Inter,Salernitana,3,3.0,0.33,1.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.3333,1.0,1.0,0.6667,0.3333,0.3333
