League,Home Team,Away Team,Total Games,Average Goals For Home,Average Goals For Away,Home Win %,Draw %,Away Win %,BTTS %,BTTS Home Win %,BTTS Away Win %,BTTS Draw %,BTTS No Draw %,Over 0.5 Goals %,Over 1.5 Goals %,Over 2.5 Goals %,Over 3.5 Goals %,Over 4.5 Goals %
Portugal Primerira Liga,Est Amadora,Rio Ave,7,0.86,0.86,0.4286,0.2857,0.2857,0.2857,0.0,0.2857,0.0,0.2857,0.7143,0.4286,0.2857,0.1429,0.1429
Portugal Primerira Liga,Est Amadora,Porto,12,1.25,1.83,0.1667,0.4167,0.4167,0.75,0.1667,0.1667,0.4167,0.3333,1.0,0.9167,0.5833,0.3333,0.1667
Portugal Primerira Liga,Est Amadora,Gil Vicente,7,1.43,0.71,0.5714,0.2857,0.1429,0.5714,0.2857,0.0,0.2857,0.2857,1.0,0.7143,0.2857,0.1429,0.0
Portugal Primerira Liga,Est Amadora,Farense,7,1.57,1.14,0.5714,0.2857,0.1429,1.0,0.5714,0.1429,0.2857,0.7143,1.0,1.0,0.7143,0.0,0.0
Portugal Primerira Liga,Est Amadora,Sp Lisbon,12,0.5,1.5,0.0833,0.25,0.6667,0.4167,0.0833,0.25,0.0833,0.3333,0.8333,0.5833,0.3333,0.1667,0.0833
Portugal Primerira Liga,Est Amadora,Sp Braga,12,1.5,0.92,0.3333,0.5,0.1667,0.4167,0.1667,0.0,0.25,0.1667,0.75,0.5,0.4167,0.4167,0.1667
Portugal Primerira Liga,Est Amadora,Moreirense,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Portugal Primerira Liga,Est Amadora,Chaves,1,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Portugal Primerira Liga,Est Amadora,Boavista,11,1.09,1.18,0.3636,0.3636,0.2727,0.6364,0.2727,0.2727,0.0909,0.5455,0.7273,0.6364,0.5455,0.0909,0.0909
Portugal Primerira Liga,Est Amadora,Guimaraes,11,1.18,0.82,0.3636,0.3636,0.2727,0.3636,0.0909,0.0,0.2727,0.0909,0.9091,0.6364,0.1818,0.1818,0.0909
Portugal Primerira Liga,Est Amadora,Benfica,12,0.75,1.08,0.1667,0.25,0.5833,0.3333,0.0,0.25,0.0833,0.25,0.8333,0.5833,0.4167,0.0,0.0
Portugal Primerira Liga,Rio Ave,Porto,21,0.86,1.76,0.0952,0.3333,0.5714,0.5238,0.0476,0.2857,0.1905,0.3333,0.8571,0.6667,0.5238,0.4286,0.0476
Portugal Primerira Liga,Rio Ave,Gil Vicente,12,1.0,0.83,0.5,0.1667,0.3333,0.3333,0.25,0.0,0.0833,0.25,0.9167,0.5833,0.25,0.0833,0.0
Portugal Primerira Liga,Rio Ave,Farense,5,1.0,1.2,0.2,0.6,0.2,0.4,0.0,0.0,0.4,0.0,0.8,0.8,0.4,0.2,0.0
Portugal Primerira Liga,Rio Ave,Famalicao,3,1.33,1.67,0.0,0.6667,0.3333,0.6667,0.0,0.0,0.6667,0.0,1.0,0.6667,0.6667,0.6667,0.0
Portugal Primerira Liga,Rio Ave,Sp Lisbon,21,1.05,1.48,0.1429,0.2381,0.619,0.5238,0.0952,0.3333,0.0952,0.4286,0.8571,0.619,0.5238,0.3333,0.0952
Portugal Primerira Liga,Rio Ave,Sp Braga,21,1.0,1.05,0.3333,0.381,0.2857,0.4286,0.0476,0.1905,0.1905,0.2381,0.8095,0.619,0.2857,0.1429,0.0952
Portugal Primerira Liga,Rio Ave,Moreirense,10,1.2,1.0,0.4,0.3,0.3,0.6,0.2,0.1,0.3,0.3,1.0,0.7,0.3,0.1,0.1
Portugal Primerira Liga,Rio Ave,Chaves,5,1.4,0.8,0.6,0.4,0.0,0.6,0.2,0.0,0.4,0.2,1.0,0.6,0.4,0.2,0.0
Portugal Primerira Liga,Rio Ave,Casa Pia,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Portugal Primerira Liga,Rio Ave,Boavista,15,1.33,0.8,0.4667,0.3333,0.2,0.4667,0.1333,0.1333,0.2,0.2667,0.8667,0.7333,0.4,0.1333,0.0
Portugal Primerira Liga,Rio Ave,Guimaraes,21,0.9,1.29,0.1905,0.3333,0.4762,0.5238,0.0952,0.1905,0.2381,0.2857,0.9048,0.619,0.3333,0.1905,0.0952
Portugal Primerira Liga,Rio Ave,Estoril,8,1.25,1.38,0.5,0.0,0.5,0.5,0.25,0.25,0.0,0.5,1.0,1.0,0.5,0.125,0.0
Portugal Primerira Liga,Rio Ave,Portimonense,6,2.0,0.33,1.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.3333,1.0,0.8333,0.5,0.0,0.0
Portugal Primerira Liga,Rio Ave,Vizela,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Rio Ave,Benfica,21,0.81,1.43,0.1429,0.2381,0.619,0.5238,0.0952,0.1905,0.2381,0.2857,1.0,0.619,0.381,0.1905,0.0476
Portugal Primerira Liga,Rio Ave,Arouca,5,1.8,0.8,0.6,0.2,0.2,0.6,0.2,0.2,0.2,0.4,1.0,0.8,0.6,0.2,0.0
Portugal Primerira Liga,Porto,Gil Vicente,17,2.29,0.41,0.9412,0.0,0.0588,0.3529,0.2941,0.0588,0.0,0.3529,1.0,0.8235,0.5294,0.2353,0.1176
Portugal Primerira Liga,Porto,Farense,9,3.0,0.33,1.0,0.0,0.0,0.2222,0.2222,0.0,0.0,0.2222,1.0,1.0,0.3333,0.3333,0.3333
Portugal Primerira Liga,Porto,Famalicao,3,3.33,1.0,1.0,0.0,0.0,0.6667,0.6667,0.0,0.0,0.6667,1.0,1.0,1.0,0.6667,0.6667
Portugal Primerira Liga,Porto,Sp Lisbon,28,1.86,0.82,0.6429,0.25,0.1071,0.5357,0.2857,0.0714,0.1786,0.3571,0.9286,0.8214,0.5714,0.25,0.1071
Portugal Primerira Liga,Porto,Sp Braga,28,2.43,0.79,0.7857,0.1429,0.0714,0.5,0.3571,0.0714,0.0714,0.4286,0.9286,0.7857,0.6071,0.4643,0.25
Portugal Primerira Liga,Porto,Moreirense,11,2.64,0.36,1.0,0.0,0.0,0.2727,0.2727,0.0,0.0,0.2727,1.0,0.7273,0.7273,0.1818,0.1818
Portugal Primerira Liga,Porto,Chaves,5,2.8,0.2,1.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,1.0,0.8,0.8,0.2,0.2
Portugal Primerira Liga,Porto,Casa Pia,1,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Portugal Primerira Liga,Porto,Boavista,22,1.95,0.5,0.8182,0.0909,0.0909,0.2273,0.1818,0.0,0.0455,0.1818,0.9545,0.5909,0.3636,0.3636,0.1364
Portugal Primerira Liga,Porto,Guimaraes,27,2.33,0.48,0.8889,0.037,0.0741,0.2963,0.2222,0.0741,0.0,0.2963,0.963,0.8148,0.6296,0.2593,0.1111
Portugal Primerira Liga,Porto,Estoril,8,2.38,0.62,0.75,0.125,0.125,0.25,0.125,0.0,0.125,0.125,1.0,0.75,0.5,0.5,0.25
Portugal Primerira Liga,Porto,Portimonense,6,2.67,0.67,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,0.6667,0.5,0.5,0.3333
Portugal Primerira Liga,Porto,Vizela,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Portugal Primerira Liga,Porto,Benfica,28,1.86,0.93,0.6429,0.2143,0.1429,0.5714,0.3571,0.0357,0.1786,0.3929,0.9643,0.8929,0.5,0.2857,0.1429
Portugal Primerira Liga,Porto,Arouca,5,2.8,0.8,0.8,0.0,0.2,0.6,0.4,0.2,0.0,0.6,1.0,0.8,0.8,0.4,0.4
Portugal Primerira Liga,Gil Vicente,Farense,7,1.57,0.71,0.2857,0.7143,0.0,0.5714,0.1429,0.0,0.4286,0.1429,0.7143,0.7143,0.4286,0.4286,0.0
Portugal Primerira Liga,Gil Vicente,Famalicao,3,0.33,2.0,0.0,0.3333,0.6667,0.3333,0.0,0.3333,0.0,0.3333,0.6667,0.6667,0.6667,0.3333,0.0
Portugal Primerira Liga,Gil Vicente,Sp Lisbon,17,0.88,1.71,0.1765,0.2941,0.5294,0.4706,0.0588,0.1765,0.2353,0.2353,0.9412,0.8824,0.4706,0.2353,0.0588
Portugal Primerira Liga,Gil Vicente,Sp Braga,17,1.06,1.18,0.3529,0.2941,0.3529,0.5294,0.1765,0.1176,0.2353,0.2941,0.9412,0.7059,0.4118,0.1176,0.0588
Portugal Primerira Liga,Gil Vicente,Moreirense,7,1.71,1.86,0.5714,0.0,0.4286,0.7143,0.4286,0.2857,0.0,0.7143,1.0,0.7143,0.7143,0.4286,0.2857
Portugal Primerira Liga,Gil Vicente,Chaves,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Gil Vicente,Casa Pia,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Gil Vicente,Boavista,14,0.79,1.57,0.1429,0.2143,0.6429,0.5,0.0714,0.2857,0.1429,0.3571,0.9286,0.6429,0.4286,0.2143,0.0714
Portugal Primerira Liga,Gil Vicente,Guimaraes,17,1.47,1.24,0.4118,0.3529,0.2353,0.7059,0.2353,0.1765,0.2941,0.4118,0.9412,0.8235,0.5294,0.3529,0.0588
Portugal Primerira Liga,Gil Vicente,Estoril,5,0.8,1.0,0.2,0.4,0.4,0.4,0.0,0.2,0.2,0.2,0.8,0.6,0.2,0.2,0.0
Portugal Primerira Liga,Gil Vicente,Portimonense,3,1.0,1.0,0.3333,0.3333,0.3333,0.6667,0.0,0.3333,0.3333,0.3333,1.0,0.6667,0.3333,0.0,0.0
Portugal Primerira Liga,Gil Vicente,Vizela,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Portugal Primerira Liga,Gil Vicente,Benfica,17,0.65,1.94,0.1176,0.1765,0.7059,0.3529,0.0,0.1765,0.1765,0.1765,1.0,0.8824,0.4706,0.1765,0.0588
Portugal Primerira Liga,Gil Vicente,Arouca,3,0.67,1.67,0.0,0.6667,0.3333,0.6667,0.0,0.0,0.6667,0.0,1.0,1.0,0.3333,0.0,0.0
Portugal Primerira Liga,Farense,Famalicao,1,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Portugal Primerira Liga,Farense,Sp Lisbon,9,0.44,1.56,0.1111,0.2222,0.6667,0.3333,0.1111,0.2222,0.0,0.3333,0.7778,0.5556,0.4444,0.2222,0.0
Portugal Primerira Liga,Farense,Sp Braga,9,1.0,1.22,0.2222,0.4444,0.3333,0.5556,0.0,0.1111,0.4444,0.1111,1.0,0.6667,0.3333,0.2222,0.0
Portugal Primerira Liga,Farense,Moreirense,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Portugal Primerira Liga,Farense,Chaves,1,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Portugal Primerira Liga,Farense,Boavista,9,1.44,1.0,0.4444,0.3333,0.2222,0.4444,0.1111,0.1111,0.2222,0.2222,0.8889,0.7778,0.4444,0.3333,0.0
Portugal Primerira Liga,Farense,Guimaraes,9,1.33,0.89,0.4444,0.2222,0.3333,0.4444,0.1111,0.1111,0.2222,0.2222,1.0,0.6667,0.4444,0.1111,0.0
Portugal Primerira Liga,Farense,Portimonense,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Portugal Primerira Liga,Farense,Benfica,9,1.11,1.33,0.2222,0.3333,0.4444,0.5556,0.1111,0.2222,0.2222,0.3333,0.8889,0.6667,0.4444,0.3333,0.1111
Portugal Primerira Liga,Famalicao,Sp Lisbon,3,2.0,1.67,0.3333,0.3333,0.3333,1.0,0.3333,0.3333,0.3333,0.6667,1.0,1.0,1.0,0.6667,0.0
Portugal Primerira Liga,Famalicao,Sp Braga,3,0.67,1.67,0.0,0.6667,0.3333,0.3333,0.0,0.0,0.3333,0.0,0.6667,0.6667,0.6667,0.3333,0.0
Portugal Primerira Liga,Famalicao,Moreirense,2,1.5,2.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.0,1.0,0.5,0.5,0.5
Portugal Primerira Liga,Famalicao,Chaves,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Portugal Primerira Liga,Famalicao,Casa Pia,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Famalicao,Boavista,3,2.67,1.33,0.3333,0.6667,0.0,0.6667,0.0,0.0,0.6667,0.0,1.0,1.0,1.0,1.0,0.0
Portugal Primerira Liga,Famalicao,Guimaraes,3,0.67,3.0,0.3333,0.0,0.6667,0.3333,0.3333,0.0,0.0,0.3333,1.0,0.6667,0.6667,0.3333,0.3333
Portugal Primerira Liga,Famalicao,Estoril,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Famalicao,Portimonense,3,0.33,0.67,0.3333,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Famalicao,Vizela,1,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Portugal Primerira Liga,Famalicao,Benfica,3,0.67,2.33,0.0,0.3333,0.6667,0.6667,0.0,0.3333,0.3333,0.3333,1.0,0.6667,0.3333,0.3333,0.3333
Portugal Primerira Liga,Famalicao,Arouca,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Sp Lisbon,Sp Braga,28,2.0,0.86,0.6786,0.1429,0.1786,0.5,0.2857,0.1071,0.1071,0.3929,0.9643,0.7857,0.5714,0.3214,0.2143
Portugal Primerira Liga,Sp Lisbon,Moreirense,11,2.18,0.64,0.9091,0.0909,0.0,0.5455,0.4545,0.0,0.0909,0.4545,1.0,0.7273,0.6364,0.2727,0.1818
Portugal Primerira Liga,Sp Lisbon,Chaves,5,2.6,1.2,0.8,0.0,0.2,0.8,0.8,0.0,0.0,0.8,1.0,1.0,0.8,0.4,0.4
Portugal Primerira Liga,Sp Lisbon,Casa Pia,1,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Portugal Primerira Liga,Sp Lisbon,Boavista,22,1.95,0.45,0.7727,0.2273,0.0,0.3636,0.2273,0.0,0.1364,0.2273,0.9091,0.6818,0.4091,0.2273,0.0909
Portugal Primerira Liga,Sp Lisbon,Guimaraes,27,2.37,0.63,0.7778,0.1481,0.0741,0.4815,0.2593,0.0741,0.1481,0.3333,1.0,0.8148,0.5185,0.3704,0.2593
