League,Home Team,Away Team,Total Games,Average Goals For Home,Average Goals For Away,Home Win %,Draw %,Away Win %,BTTS %,BTTS Home Win %,BTTS Away Win %,BTTS Draw %,BTTS No Draw %,Over 0.5 Goals %,Over 1.5 Goals %,Over 2.5 Goals %,Over 3.5 Goals %,Over 4.5 Goals %
Scottish Premiership,Kilmarnock,Hibernian,33,1.48,1.15,0.4545,0.2727,0.2727,0.6061,0.2424,0.1212,0.2424,0.3636,0.9697,0.7879,0.4848,0.2424,0.0606
Scottish Premiership,Kilmarnock,Dundee,20,1.45,1.25,0.45,0.25,0.3,0.55,0.3,0.15,0.1,0.45,0.85,0.7,0.5,0.4,0.2
Scottish Premiership,Kilmarnock,Aberdeen,40,1.32,1.35,0.375,0.175,0.45,0.5,0.175,0.2,0.125,0.375,0.95,0.75,0.525,0.35,0.05
Scottish Premiership,Kilmarnock,St Mirren,22,1.27,1.0,0.5,0.3182,0.1818,0.6364,0.3182,0.0909,0.2273,0.4091,0.9091,0.6818,0.4545,0.1364,0.0455
Scottish Premiership,Kilmarnock,Hearts,37,1.16,1.05,0.3784,0.3243,0.2973,0.3784,0.0811,0.0811,0.2162,0.1622,0.8919,0.5946,0.3784,0.1892,0.0811
Scottish Premiership,Kilmarnock,Ross County,17,1.59,1.53,0.4706,0.1765,0.3529,0.5294,0.2941,0.1176,0.1176,0.4118,0.9412,0.8824,0.7059,0.4706,0.1176
Scottish Premiership,Kilmarnock,St Johnstone,29,1.14,1.1,0.3448,0.2069,0.4483,0.5172,0.1724,0.2414,0.1034,0.4138,0.8966,0.6897,0.4828,0.1034,0.069
Scottish Premiership,Kilmarnock,Livingston,14,1.86,1.5,0.5714,0.0714,0.3571,0.5714,0.2143,0.2857,0.0714,0.5,1.0,1.0,0.6429,0.3571,0.2143
Scottish Premiership,Kilmarnock,Celtic,40,0.7,2.12,0.125,0.15,0.725,0.425,0.025,0.3,0.1,0.325,0.95,0.675,0.525,0.35,0.2
Scottish Premiership,Kilmarnock,Rangers,30,1.0,1.93,0.1667,0.2333,0.6,0.6333,0.1333,0.3333,0.1667,0.4667,0.9333,0.8,0.6333,0.3667,0.1667
Scottish Premiership,Kilmarnock,Motherwell,37,1.27,1.03,0.4595,0.1351,0.4054,0.4054,0.1892,0.1892,0.027,0.3784,0.8919,0.6757,0.4324,0.1622,0.1351
Scottish Division One,Cove Rangers,Stirling,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Scottish Division One,Cove Rangers,Falkirk,3,1.67,0.33,0.6667,0.3333,0.0,0.3333,0.0,0.0,0.3333,0.0,1.0,1.0,0.0,0.0,0.0
Scottish Division One,Cove Rangers,Edinburgh City,2,3.5,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,1.0,1.0,0.5,0.5
Scottish Division One,Cove Rangers,Hamilton,2,2.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,1.0,1.0,0.5,0.5,0.0
Scottish Division One,Cove Rangers,Alloa,2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Scottish Division One,Cove Rangers,Montrose,3,1.0,1.0,0.3333,0.3333,0.3333,0.6667,0.0,0.3333,0.3333,0.3333,1.0,0.6667,0.3333,0.0,0.0
Scottish Division One,Cove Rangers,Annan Athletic,2,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0
Scottish Premiership,Hibernian,Dundee,15,2.2,1.0,0.6,0.3333,0.0667,0.6,0.2,0.0667,0.3333,0.2667,1.0,0.8,0.6667,0.3333,0.1333
Scottish Premiership,Hibernian,Aberdeen,39,1.36,1.08,0.3077,0.359,0.3333,0.4872,0.1026,0.1538,0.2308,0.2564,0.8718,0.7436,0.4103,0.2308,0.0769
Scottish Premiership,Hibernian,St Mirren,26,1.96,1.0,0.6154,0.2308,0.1538,0.5769,0.3077,0.0769,0.1923,0.3846,0.9615,0.8077,0.5769,0.3077,0.1923
Scottish Premiership,Hibernian,Hearts,36,1.22,1.06,0.3333,0.3889,0.2778,0.6389,0.1389,0.1944,0.3056,0.3333,0.9167,0.7222,0.3889,0.1389,0.0278
Scottish Premiership,Hibernian,Ross County,10,1.4,0.9,0.5,0.2,0.3,0.3,0.2,0.0,0.1,0.2,0.9,0.8,0.5,0.1,0.0
Scottish Premiership,Hibernian,St Johnstone,21,1.57,1.0,0.381,0.2857,0.3333,0.4286,0.0476,0.1905,0.1905,0.2381,0.9048,0.7143,0.5238,0.3333,0.0952
Scottish Premiership,Hibernian,Livingston,19,1.89,1.32,0.5263,0.2105,0.2632,0.5263,0.2632,0.0526,0.2105,0.3158,1.0,0.9474,0.7368,0.3158,0.1053
Scottish Premiership,Hibernian,Celtic,37,0.97,1.7,0.2162,0.3243,0.4595,0.4865,0.1351,0.1622,0.1892,0.2973,0.8649,0.7027,0.5135,0.3784,0.1351
Scottish Premiership,Hibernian,Rangers,36,1.03,1.92,0.1111,0.25,0.6389,0.5,0.0556,0.2778,0.1667,0.3333,0.9167,0.7222,0.5556,0.3056,0.1944
Scottish Premiership,Hibernian,Motherwell,34,1.47,1.0,0.4706,0.2941,0.2353,0.4706,0.1471,0.0588,0.2647,0.2059,0.9706,0.7353,0.3529,0.2647,0.0882
Scottish Premiership,Dundee,Aberdeen,22,1.0,2.0,0.1364,0.2727,0.5909,0.6364,0.0455,0.3182,0.2727,0.3636,1.0,0.8636,0.5,0.3636,0.1818
Scottish Premiership,Dundee,St Mirren,12,1.83,1.25,0.5,0.1667,0.3333,0.5,0.1667,0.1667,0.1667,0.3333,1.0,0.75,0.5833,0.5,0.25
Scottish Premiership,Dundee,Hearts,21,1.0,1.05,0.3333,0.2857,0.381,0.5238,0.1429,0.1429,0.2381,0.2857,0.9524,0.619,0.3333,0.0952,0.0476
Scottish Premiership,Dundee,Ross County,23,1.22,1.39,0.2609,0.3478,0.3913,0.5217,0.1304,0.2174,0.1739,0.3478,0.8261,0.7391,0.4348,0.2609,0.2174
Scottish Premiership,Dundee,St Johnstone,26,1.23,1.23,0.4231,0.2692,0.3077,0.5769,0.2692,0.0385,0.2692,0.3077,1.0,0.7692,0.4231,0.1923,0.0769
Scottish Premiership,Dundee,Livingston,22,1.32,0.64,0.5909,0.1818,0.2273,0.1818,0.1818,0.0,0.0,0.1818,0.8182,0.5455,0.3636,0.1364,0.0909
Scottish Premiership,Dundee,Celtic,20,0.55,2.0,0.0,0.25,0.75,0.45,0.0,0.25,0.2,0.25,0.95,0.75,0.5,0.2,0.1
Scottish Premiership,Dundee,Rangers,17,0.65,1.71,0.1176,0.2941,0.5882,0.4706,0.1176,0.1176,0.2353,0.2353,0.9412,0.8235,0.4706,0.1176,0.0
Scottish Premiership,Dundee,Motherwell,20,1.35,1.15,0.45,0.1,0.45,0.5,0.2,0.2,0.1,0.4,1.0,0.7,0.55,0.2,0.05
Scottish Premiership,Aberdeen,St Mirren,25,1.92,0.68,0.6,0.36,0.04,0.48,0.28,0.04,0.16,0.32,0.8,0.76,0.6,0.32,0.12
Scottish Premiership,Aberdeen,Hearts,39,1.18,0.97,0.4103,0.3077,0.2821,0.4103,0.1026,0.1282,0.1795,0.2308,0.8718,0.6154,0.2821,0.2051,0.1282
Scottish Premiership,Aberdeen,Ross County,16,1.56,0.69,0.5625,0.1875,0.25,0.25,0.125,0.0625,0.0625,0.1875,0.875,0.625,0.5,0.25,0.0
Scottish Premiership,Aberdeen,St Johnstone,30,1.03,0.97,0.3333,0.3667,0.3,0.4,0.1,0.0667,0.2333,0.1667,0.8667,0.6,0.2333,0.1333,0.1
Scottish Premiership,Aberdeen,Livingston,19,1.53,0.89,0.5789,0.1579,0.2632,0.3158,0.1579,0.1053,0.0526,0.2632,0.8947,0.7895,0.5263,0.1053,0.1053
Scottish Premiership,Aberdeen,Celtic,44,1.02,2.14,0.1364,0.1591,0.7045,0.5909,0.1136,0.3182,0.1591,0.4318,1.0,0.7955,0.5909,0.3864,0.1818
