League,Home Team,Away Team,Total Games,Average Goals For Home,Average Goals For Away,Home Win %,Draw %,Away Win %,BTTS %,BTTS Home Win %,BTTS Away Win %,BTTS Draw %,BTTS No Draw %,Over 0.5 Goals %,Over 1.5 Goals %,Over 2.5 Goals %,Over 3.5 Goals %,Over 4.5 Goals %
Spanish Secunda,Albacete,Tenerife,14,1.14,1.43,0.3571,0.2143,0.4286,0.5,0.1429,0.2143,0.1429,0.3571,0.9286,0.7143,0.5,0.2857,0.1429
Spanish Secunda,Albacete,Leganes,7,0.71,0.71,0.4286,0.2857,0.2857,0.1429,0.0,0.1429,0.0,0.1429,0.7143,0.4286,0.2857,0.0,0.0
Spanish Secunda,Albacete,Espanol,3,1.0,1.33,0.6667,0.0,0.3333,0.3333,0.3333,0.0,0.0,0.3333,1.0,0.6667,0.6667,0.0,0.0
Spanish Secunda,Albacete,Cartagena,4,1.0,0.75,0.25,0.5,0.25,0.5,0.0,0.25,0.25,0.25,0.75,0.75,0.25,0.0,0.0
Spanish Secunda,Albacete,Mirandes,5,1.0,0.8,0.4,0.4,0.2,0.6,0.2,0.2,0.2,0.4,0.8,0.6,0.4,0.0,0.0
Spanish Secunda,Albacete,Eibar,7,1.43,0.86,0.5714,0.2857,0.1429,0.5714,0.2857,0.1429,0.1429,0.4286,0.8571,0.7143,0.4286,0.2857,0.0
Spanish Secunda,Albacete,Burgos,2,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
Spanish Secunda,Albacete,Ferrol,5,1.4,1.0,0.6,0.0,0.4,0.6,0.2,0.4,0.0,0.6,1.0,0.8,0.6,0.0,0.0
Spanish Secunda,Albacete,Elche,12,0.83,1.08,0.25,0.3333,0.4167,0.4167,0.0833,0.0833,0.25,0.1667,0.9167,0.6667,0.25,0.0833,0.0
Spanish Secunda,Albacete,Sp Gijon,12,1.58,1.08,0.4167,0.3333,0.25,0.75,0.25,0.1667,0.3333,0.4167,1.0,0.8333,0.5833,0.25,0.0
Spanish Secunda,Albacete,Zaragoza,11,1.45,1.0,0.3636,0.5455,0.0909,0.6364,0.2727,0.0909,0.2727,0.3636,0.7273,0.6364,0.5455,0.4545,0.0909
Spanish Secunda,Albacete,Andorra,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Spanish Secunda,Albacete,Valladolid,7,1.43,1.71,0.2857,0.1429,0.5714,0.5714,0.1429,0.2857,0.1429,0.4286,1.0,0.8571,0.4286,0.2857,0.2857
Spanish Secunda,Albacete,Santander,6,1.0,0.5,0.3333,0.3333,0.3333,0.1667,0.1667,0.0,0.0,0.1667,0.6667,0.3333,0.3333,0.1667,0.0
Spanish Secunda,Albacete,Huesca,7,1.14,1.0,0.2857,0.5714,0.1429,0.5714,0.2857,0.0,0.2857,0.2857,0.7143,0.7143,0.4286,0.2857,0.0
Spanish Secunda,Albacete,Oviedo,8,1.0,1.0,0.25,0.5,0.25,0.625,0.125,0.125,0.375,0.25,0.875,0.625,0.375,0.125,0.0
La Liga,Almeria,Celta,5,1.6,1.6,0.4,0.2,0.4,0.6,0.2,0.2,0.2,0.4,1.0,0.6,0.6,0.6,0.2
La Liga,Almeria,Getafe,10,0.9,0.9,0.5,0.1,0.4,0.3,0.1,0.1,0.1,0.2,1.0,0.4,0.2,0.1,0.1
La Liga,Almeria,Granada,4,2.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.0,0.0
La Liga,Almeria,Sociedad,4,2.0,2.25,0.25,0.5,0.25,0.75,0.25,0.0,0.5,0.25,1.0,1.0,0.75,0.75,0.25
La Liga,Almeria,Mallorca,9,1.67,0.78,0.5556,0.3333,0.1111,0.6667,0.3333,0.0,0.3333,0.3333,1.0,0.8889,0.4444,0.1111,0.0
La Liga,Almeria,Sevilla,7,0.86,1.57,0.2857,0.0,0.7143,0.4286,0.1429,0.2857,0.0,0.4286,1.0,0.5714,0.4286,0.2857,0.1429
La Liga,Almeria,Betis,4,1.75,1.5,0.5,0.25,0.25,0.75,0.25,0.25,0.25,0.5,1.0,0.75,0.5,0.5,0.5
La Liga,Almeria,Osasuna,9,1.33,1.0,0.5556,0.0,0.4444,0.4444,0.3333,0.1111,0.0,0.4444,1.0,0.6667,0.4444,0.1111,0.1111
