League,Home Team,Away Team,Total Games,Average Goals For Home,Average Goals For Away,Home Win %,Draw %,Away Win %,BTTS %,BTTS Home Win %,BTTS Away Win %,BTTS Draw %,BTTS No Draw %,Over 0.5 Goals %,Over 1.5 Goals %,Over 2.5 Goals %,Over 3.5 Goals %,Over 4.5 Goals %
Turkey Super Lig,Antalyaspor,Ankaraspor,2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Turkey Super Lig,Kocaelispor,Ankaraspor,1,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Turkey Super Lig,Kocaelispor,Ad. Demirspor,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Turkey Super Lig,Kocaelispor,Kayserispor,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Turkey Super Lig,Kocaelispor,Rizespor,2,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Turkey Super Lig,Sivasspor,Ad. Demirspor,2,1.0,1.5,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.0
Turkey Super Lig,Sivasspor,Gaziantep,4,1.25,1.0,0.25,0.75,0.0,1.0,0.25,0.0,0.75,0.25,1.0,1.0,0.25,0.0,0.0
Turkey Super Lig,Sivasspor,Istanbulspor,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Turkey Super Lig,Samsunspor,Ad. Demirspor,1,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Turkey Super Lig,Alanyaspor,Rizespor,5,2.4,1.6,0.6,0.2,0.2,1.0,0.6,0.2,0.2,0.8,1.0,1.0,0.8,0.4,0.4
Turkey Super Lig,Ad. Demirspor,Kayserispor,2,3.0,2.0,0.5,0.5,0.0,1.0,0.5,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5
Turkey Super Lig,Ad. Demirspor,Rizespor,1,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Turkey Super Lig,Ad. Demirspor,Ankaragucu,2,2.5,2.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5
Turkey Super Lig,Karagumruk,Istanbulspor,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Turkey Super Lig,Karagumruk,Fenerbahce,3,1.0,1.67,0.0,0.3333,0.6667,1.0,0.0,0.6667,0.3333,0.6667,1.0,1.0,0.6667,0.0,0.0
Turkey Super Lig,Samsunspor,Sivasspor,2,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Turkey Super Lig,Ad. Demirspor,Alanyaspor,2,2.5,2.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.5,0.5
