Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,04/08/2023,19:45,Standard,St. Gilloise,,,,,,,3.75,3.6,1.91,3.5,3.6,2,3.5,3.55,2,3.87,3.67,1.98,,,,3.6,3.6,1.95,3.87,3.83,2.08,3.55,3.61,1.99,1.73,2.08,1.76,2.13,1.8,2.15,1.75,2.06,0.5,1.88,1.98,1.9,1.98,1.93,2.02,1.84,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,05/08/2023,15:00,Genk,Eupen,,,,,,,1.33,5.25,8.5,1.31,5.75,8.75,1.3,6,8.75,1.29,6.28,9.53,,,,1.29,5.5,9,1.33,6.28,10.5,1.29,5.67,8.88,1.44,2.7,1.47,2.74,1.5,2.8,1.45,2.67,-1.5,1.83,2.03,1.85,2.05,1.9,2.07,1.82,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,05/08/2023,17:15,Cercle Brugge,Charleroi,,,,,,,1.85,3.8,4,1.87,3.9,3.8,1.9,3.7,3.75,1.92,3.8,3.98,,,,1.85,3.7,3.9,1.92,4,4,1.87,3.75,3.8,1.7,2.1,1.74,2.17,1.74,2.23,1.7,2.12,-0.5,1.88,1.98,1.92,1.96,1.92,2.02,1.86,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,05/08/2023,19:45,Oud-Heverlee Leuven,RWD Molenbeek,,,,,,,1.75,4,4.2,1.78,3.9,4.2,1.8,3.8,4.1,1.82,4.01,4.23,,,,1.75,3.8,4.2,1.83,4.1,4.25,1.78,3.87,4.1,1.67,2.15,1.66,2.29,1.73,2.29,1.66,2.18,-0.75,2,1.85,2.05,1.85,2.05,1.9,1.97,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,06/08/2023,12:30,Anderlecht,Antwerp,,,,,,,2.55,3.4,2.63,2.45,3.6,2.65,2.5,3.45,2.6,2.65,3.7,2.55,,,,2.55,3.4,2.6,2.65,3.75,2.67,2.55,3.5,2.58,1.8,2,1.79,2.05,1.83,2.13,1.77,2.03,0,1.93,1.93,1.98,1.9,1.98,2,1.89,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,06/08/2023,15:00,Mechelen,Gent,,,,,,,3.8,4,1.8,3.8,3.9,1.85,3.75,3.85,1.83,3.78,4.04,1.87,,,,3.9,3.8,1.8,4,4.2,1.88,3.81,3.88,1.83,1.6,2.3,1.6,2.36,1.65,2.41,1.61,2.28,0.5,2.03,1.83,1.98,1.87,2.11,1.87,1.98,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,06/08/2023,17:30,Westerlo,Club Brugge,,,,,,,3.6,3.75,1.95,3.5,3.8,1.95,3.4,3.7,2,3.69,3.7,1.98,,,,3.5,3.7,1.95,3.8,3.9,2.07,3.48,3.72,1.97,1.62,2.25,1.64,2.29,1.66,2.32,1.63,2.24,0.5,1.88,1.98,1.87,1.98,1.94,2.02,1.85,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,06/08/2023,18:15,Kortrijk,St Truiden,,,,,,,2.8,3.4,2.45,2.85,3.4,2.4,2.85,3.35,2.45,2.85,3.35,2.53,,,,,,,2.9,3.57,2.53,2.8,3.36,2.44,2.03,1.83,1.98,1.86,2.06,1.88,1.95,1.83,0,2.05,1.8,2.05,1.82,2.13,1.86,2.05,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,04/08/2023,17:30,Hertha,Wehen,,,,,,,1.57,4.33,5.25,1.57,4.2,5.5,1.6,4.2,5.25,1.57,4.43,5.89,1.44,4,5,1.53,4.33,5.25,1.6,4.43,6,1.55,4.22,5.51,1.67,2.15,1.7,2.24,1.72,2.3,1.67,2.17,-1,1.93,1.93,1.96,1.94,1.97,1.97,1.92,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,04/08/2023,17:30,Paderborn,Osnabruck,,,,,,,1.6,4.2,5.25,1.62,4.2,5,1.7,4,4.5,1.6,4.38,5.68,1.55,3.8,4.6,1.57,4.2,5,1.7,4.45,5.73,1.59,4.17,5.08,1.5,2.5,1.52,2.64,1.54,2.64,1.5,2.51,-1,1.95,1.9,1.98,1.93,2.15,1.93,1.96,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
