HomeTeam,AwayTeam,
Standard,St. Gilloise,
Genk,Eupen,
Cercle Brugge,Charleroi,
Oud-Heverlee Leuven,RWD Molenbeek,
Anderlecht,Antwerp,
Mechelen,Gent,
Westerlo,Club Brugge,
Kortrijk,St Truiden,
Hertha,Wehen,
Paderborn,Osnabruck,
Elversberg,Hansa Rostock,
Holstein Kiel,Greuther Furth,
St Pauli,Fortuna Dusseldorf,
Schalke 04,Kaiserslautern,
Karlsruhe,Hamburg,
Magdeburg,Braunschweig,
Nurnberg,Hannover,
Sheffield Weds,Southampton,
Blackburn,West Brom,
Bristol City,Preston,
Middlesbrough,Millwall,
Norwich,Hull,
Plymouth,Huddersfield,
Stoke,Rotherham,
Swansea,Birmingham,
Watford,QPR,
Leicester,Coventry,
Leeds,Cardiff,
Sunderland,Ipswich,
Barnsley,Port Vale,
Blackpool,Burton,
Bolton,Lincoln,
Cambridge,Oxford,
Carlisle,Fleetwood Town,
Charlton,Leyton Orient,
Derby,Wigan,
Northampton,Stevenage,
Portsmouth,Bristol Rvs,
Reading,Peterboro,
Shrewsbury,Cheltenham,
Wycombe,Exeter,
Accrington,Newport County,
Colchester,Swindon,
Crawley Town,Bradford,
Crewe,Mansfield,
Doncaster,Harrogate,
Forest Green,Salford,
Grimsby,AFC Wimbledon,
Morecambe,Walsall,
Stockport,Gillingham,
Sutton,Notts County,
Tranmere,Barrow,
Wrexham,Milton Keynes Dons,
Aldershot,Oxford City,
Altrincham,Dag and Red,
Barnet,Hartlepool,
Chesterfield,Dorking,
Gateshead,Boreham Wood,
Halifax,Bromley,
Kidderminster,Woking,
Maidenhead,Fylde,
Solihull,Eastleigh,
Southend,Oldham,
Wealdstone,York,
Rochdale,Ebbsfleet,
St Etienne,Grenoble,
Ajaccio,Rodez,
Amiens,Quevilly Rouen,
Concarneau,Bastia,
Dunkerque,Troyes,
Laval,Angers,
Paris FC,Caen,
Sochaux,Guingamp,
Valenciennes,Auxerre,
Pau FC,Bordeaux,
Celtic,Ross County,
Dundee,Motherwell,
Livingston,Aberdeen,
St Johnstone,Hearts,
Kilmarnock,Rangers,
Hibernian,St Mirren,
Arbroath,Dundee United,
Dunfermline,Airdrie Utd,
Inverness C,Queens Park,
Morton,Ayr,
Partick,Raith Rvs,
Falkirk,Annan Athletic,
Hamilton,Cove Rangers,
Montrose,Kelty Hearts,
Queen of Sth,Alloa,
Stirling,Edinburgh City,
Bonnyrigg Rose,Dumbarton,
East Fife,Peterhead,
Elgin,Stranraer,
Spartans,Clyde,
Stenhousemuir,Forfar,
